row_type,generated_at,subject,subject_total_questions,subject_active_questions,subject_active_ratio_pct,class,area,subarea,difficulty,language,active,count,share_subject_pct
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,fonti_storiche,confronto_fonti,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,fonti_storiche,ricerca_personale,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,fonti_storiche,tipi_di_fonti,1,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,fonti_storiche,uso_delle_fonti,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,linea_del_tempo,lettura_linea_tempo,2,it,1,12,1.56
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,linea_del_tempo,ordine_cronologico,1,it,1,24,3.11
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,storia_personale_familiare,cambiamenti_e_cause,2,it,1,9,1.17
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,storia_personale_familiare,cambiamenti_nel_tempo,1,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,storia_personale_familiare,linea_tempo_personale,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,storia_personale_familiare,oggetti_vecchi_nuovi,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,successione_contemporaneita,causa_effetto,2,it,1,4,0.52
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,successione_contemporaneita,contemporaneita,2,it,1,4,0.52
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,successione_contemporaneita,lessico_e_contemporaneita,2,it,1,8,1.04
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,successione_contemporaneita,ordine_di_eventi,1,it,1,20,2.59
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,successione_contemporaneita,prima_dopo,2,it,1,4,0.52
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,tempo_strumenti,giorni_settimana,1,it,1,15,1.95
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,tempo_strumenti,mesi_anno,1,it,1,12,1.56
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,tempo_strumenti,parti_giornata,1,it,1,4,0.52
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,tempo_strumenti,stagioni,1,it,1,6,0.78
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,2,tempo_strumenti,strumenti_del_tempo,2,it,1,4,0.52
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,metodo_storico_fonti,confronto_fonti,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,metodo_storico_fonti,metodo_e_ricerca,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,metodo_storico_fonti,ruoli_e_fonti,1,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,metodo_storico_fonti,tempo_storico,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,origine_terra_vita,big_bang_ere_geologiche,1,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,origine_terra_vita,fossili_e_dinosauri,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,origine_terra_vita,origine_e_miti,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,origine_terra_vita,vita_nel_tempo,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,preistoria_neolitico_metalli,agricoltura_e_sedentarieta,1,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,preistoria_neolitico_metalli,confronti,2,it,1,10,1.30
detail,2026-04-20T04:40:07Z,storia,771,771,100.00,3,preistoria_neolitico_metalli,eta_dei_metalli,2,it,1,10,1.30
